REGIÃO_BARREIRO,REGIÃO_CENTRO-SUL,REGIÃO_DESCONHECIDO,REGIÃO_LESTE,REGIÃO_NORDESTE,REGIÃO_NOROESTE,REGIÃO_NORTE,REGIÃO_OESTE,REGIÃO_PAMPULHA,REGIÃO_VENDA NOVA,ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
False,False,False,False,False,False,False,True,False,False,2024,1,1,3585.76,3299.4
False,False,False,True,False,False,False,False,False,False,2023,1,1,42.22,42.18
False,False,False,False,False,True,False,False,False,False,2022,7,3,1130.5,1569.89
False,False,True,False,False,False,False,False,False,False,2022,5,2,1309.23,808.05
False,False,True,False,False,False,False,False,False,False,2023,5,2,50.0,733.98
False,False,False,True,False,False,False,False,False,False,2023,11,4,1707.25,1840.72
False,False,False,False,False,False,False,False,False,True,2022,7,3,42.18,42.18
False,False,True,False,False,False,False,False,False,False,2023,4,2,214.9,404.18
False,True,False,False,False,False,False,False,False,False,2024,3,1,30.82,26.69
False,True,False,False,False,False,False,False,False,False,2022,12,4,28.0,24.24
False,False,True,False,False,False,False,False,False,False,2024,4,2,27.71,26.69
False,False,False,False,False,True,False,False,False,False,2024,12,4,1868.86,2052.97
False,False,False,False,False,False,False,True,False,False,2023,11,4,30.84,31.44
False,True,False,False,False,False,False,False,False,False,2023,7,3,28.06,776.13
False,True,False,False,False,False,False,False,False,False,2024,7,3,27.82,27.82
False,False,True,False,False,False,False,False,False,False,2022,6,2,43.36,1428.3
False,False,False,False,False,False,False,True,False,False,2023,1,1,1409.72,648.5
